Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
West Ham;Against;23;25/11/2023;Matchweek 13;Away;Jay Rodriguez;Burnley;Y;0.79;0.85;Right Foot;13;49;0-0;Alphonse Areola;;Luca Koleosho;Fouled;Luca Koleosho;Take-On;;Penalty Kick
Wolves;For;17;27/11/2023;Matchweek 13;Away;Matheus Cunha;Fulham;Y;0.13;0.67;Head;8;22;0-1;Bernd Leno;Jean-Ricner Bellegarde;Jean-Ricner Bellegarde;Pass (Live);Jean-Ricner Bellegarde;Take-On;;In Game
Wolves;For;18;27/11/2023;Matchweek 13;Away;Hwang Hee-chan;Fulham;Y;0.79;0.93;Right Foot;13;75;01-févr;Bernd Leno;;Hwang Hee-chan;Fouled;;;;Penalty Kick
Wolves;Against;21;27/11/2023;Matchweek 13;Away;Alex Iwobi;Fulham;Y;0.70;0.82;Left Foot;8;7;0-0;José Sá;Antonee Robinson;Antonee Robinson;Pass (Live);Willian;Pass (Live);;In Game
Wolves;Against;22;27/11/2023;Matchweek 13;Away;Willian;Fulham;Y;0.79;0.99;Right Foot;13;59;01-janv;José Sá;;Tom Cairney;Fouled;Tom Cairney;Pass (Live);;Penalty Kick
Wolves;Against;23;27/11/2023;Matchweek 13;Away;Willian;Fulham;Y;0.79;0.99;Right Foot;13;90+4;02-févr;José Sá;;Harry Wilson;Fouled;Willian;Pass (Live);;Penalty Kick
Arsenal;For;28;02/12/2023;Matchweek 14;Home;Bukayo Saka;Wolves;Y;0.25;0.23;Right Foot;9;6;0-0;José Sá;Takehiro Tomiyasu;Bukayo Saka;Take-On;Takehiro Tomiyasu;Pass (Live);;In Game
Arsenal;For;29;02/12/2023;Matchweek 14;Home;Martin Ødegaard;Wolves;Y*;0.17;0.27;Left Foot;16;13;1-0;José Sá;Oleksandr Zinchenko;Oleksandr Zinchenko;Pass (Live);Gabriel Jesus;Pass (Live);;In Game
Arsenal;Against;11;02/12/2023;Matchweek 14;Home;Matheus Cunha;Wolves;Y;0.06;0.48;Left Foot;16;86;0-2;David Raya;Nélson Semedo;Nélson Semedo;Tackle;;;;In Game
Aston Villa;For;32;03/12/2023;Matchweek 14;Away;Leon Bailey;Bournemouth;Y;0.07;0.15;Left Foot;14;20;0-1;Neto;Ollie Watkins;Ollie Watkins;Pass (Live);Nicolò Zaniolo;Pass (Live);;In Game
Aston Villa;For;33;03/12/2023;Matchweek 14;Away;Ollie Watkins;Bournemouth;Y;0.07;0.46;Head;10;90;01-févr;Neto;Moussa Diaby;Moussa Diaby;Pass (Live);Pau Torres;Pass (Live);;In Game
Aston Villa;Against;19;03/12/2023;Matchweek 14;Away;Antoine Semenyo;Bournemouth;Y;0.13;0.68;Right Foot;17;10;0-0;Emiliano Martínez;Ryan Christie;Ryan Christie;Pass (Live);;;;In Game
Aston Villa;Against;20;03/12/2023;Matchweek 14;Away;Dominic Solanke;Bournemouth;Y;0.08;0.38;Right Foot;16;52;01-janv;Emiliano Martínez;Milos Kerkez;Milos Kerkez;Pass (Live);Milos Kerkez;Pass (Live);;In Game
Bournemouth;For;15;03/12/2023;Matchweek 14;Home;Antoine Semenyo;Aston Villa;Y;0.13;0.68;Right Foot;17;10;0-0;Emiliano Martínez;Ryan Christie;Ryan Christie;Pass (Live);;;;In Game
Bournemouth;For;16;03/12/2023;Matchweek 14;Home;Dominic Solanke;Aston Villa;Y;0.08;0.38;Right Foot;16;52;01-janv;Emiliano Martínez;Milos Kerkez;Milos Kerkez;Pass (Live);Milos Kerkez;Pass (Live);;In Game
Bournemouth;Against;29;03/12/2023;Matchweek 14;Home;Leon Bailey;Aston Villa;Y;0.07;0.15;Left Foot;14;20;0-1;Neto;Ollie Watkins;Ollie Watkins;Pass (Live);Nicolò Zaniolo;Pass (Live);;In Game
